04/09/15 Jack King phototran 2 2000Hz
179 R 1037 0x52 0x0 0x4 0xd 0x2c 0xff 
180 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
181 R 836 0x52 0x0 0x3 0x44 0x2c 0xff 
182 F 1043 0x46 0x0 0x4 0x13 0x2c 0xff 
183 F 937 0x46 0x0 0x3 0xa9 0x2c 0xff 
184 R 1101 0x52 0x0 0x4 0x4d 0x2c 0xff 
185 F 880 0x46 0x0 0x3 0x70 0x2c 0xff 
186 R 999 0x52 0x0 0x3 0xe7 0x2c 0xff 
187 F 1096 0x46 0x0 0x4 0x48 0x2c 0xff 
188 R 874 0x52 0x0 0x3 0x6a 0x2c 0xff 
189 F 1005 0x46 0x0 0x3 0xed 0x2c 0xff 
190 R 1096 0x52 0x0 0x4 0x48 0x2c 0xff 
191 F 869 0x46 0x0 0x3 0x65 0x2c 0xff 
192 R 1014 0x52 0x0 0x3 0xf6 0x2c 0xff 
193 F 1096 0x46 0x0 0x4 0x48 0x2c 0xff 
194 R 860 0x52 0x0 0x3 0x5c 0x2c 0xff 
195 F 1018 0x46 0x0 0x3 0xfa 0x2c 0xff 
196 R 1097 0x52 0x0 0x4 0x49 0x2c 0xff 
197 F 855 0x46 0x0 0x3 0x57 0x2c 0xff 
198 R 1024 0x52 0x0 0x4 0x0 0x2c 0xff 
199 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
200 R 849 0x52 0x0 0x3 0x51 0x2c 0xff 
201 F 1029 0x46 0x0 0x4 0x5 0x2c 0xff 
202 R 1099 0x52 0x0 0x4 0x4b 0x2c 0xff 
203 F 842 0x46 0x0 0x3 0x4a 0x2c 0xff 
204 R 1037 0x52 0x0 0x4 0xd 0x2c 0xff 
205 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
206 R 836 0x52 0x0 0x3 0x44 0x2c 0xff 
207 F 1043 0x46 0x0 0x4 0x13 0x2c 0xff 
208 F 937 0x46 0x0 0x3 0xa9 0x2c 0xff 
209 R 1098 0x52 0x0 0x4 0x4a 0x2c 0xff 
210 F 883 0x46 0x0 0x3 0x73 0x2c 0xff 
211 R 999 0x52 0x0 0x3 0xe7 0x2c 0xff 
212 F 1096 0x46 0x0 0x4 0x48 0x2c 0xff 
213 R 874 0x52 0x0 0x3 0x6a 0x2c 0xff 
214 F 1005 0x46 0x0 0x3 0xed 0x2c 0xff 
215 R 1096 0x52 0x0 0x4 0x48 0x2c 0xff 
216 F 869 0x46 0x0 0x3 0x65 0x2c 0xff 
217 R 1010 0x52 0x0 0x3 0xf2 0x2c 0xff 
218 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
219 R 863 0x52 0x0 0x3 0x5f 0x2c 0xff 
220 F 1018 0x46 0x0 0x3 0xfa 0x2c 0xff 
221 R 1097 0x52 0x0 0x4 0x49 0x2c 0xff 
