phototran 2 330Hz siggen Jack King 04/10/15
147 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
148 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
149 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
150 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
151 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
152 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
153 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
154 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
155 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
156 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
157 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
158 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
159 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
160 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
161 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
162 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
163 F 1932 0x46 0x0 0x7 0x8c 0x2c 0xff 
164 R 951 0x52 0x0 0x3 0xb7 0x2c 0xff 
165 F 950 0x46 0x0 0x3 0xb6 0x2c 0xff 
166 R 950 0x52 0x0 0x3 0xb6 0x2c 0xff 
167 F 960 0x46 0x0 0x3 0xc0 0x2c 0xff 
168 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
169 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
170 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
171 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
172 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
173 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
174 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
175 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
176 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
177 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
178 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
179 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
180 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
181 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
182 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
