04/09/15 Jack King phototran 2 10KHz
267 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
268 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
269 R 1021 0x52 0x0 0x3 0xfd 0x2c 0xff 
270 F 970 0x46 0x0 0x3 0xca 0x2c 0xff 
271 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
272 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
273 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
274 R 1020 0x52 0x0 0x3 0xfc 0x2c 0xff 
275 F 971 0x46 0x0 0x3 0xcb 0x2c 0xff 
276 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
277 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
278 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
279 R 1019 0x52 0x0 0x3 0xfb 0x2c 0xff 
280 F 971 0x46 0x0 0x3 0xcb 0x2c 0xff 
281 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
282 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
283 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
284 R 1017 0x52 0x0 0x3 0xf9 0x2c 0xff 
285 F 974 0x46 0x0 0x3 0xce 0x2c 0xff 
286 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
287 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
288 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
289 R 1017 0x52 0x0 0x3 0xf9 0x2c 0xff 
290 F 974 0x46 0x0 0x3 0xce 0x2c 0xff 
291 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
292 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
293 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
294 R 1017 0x52 0x0 0x3 0xf9 0x2c 0xff 
295 F 974 0x46 0x0 0x3 0xce 0x2c 0xff 
296 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
297 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
298 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
299 R 1017 0x52 0x0 0x3 0xf9 0x2c 0xff 
300 F 971 0x46 0x0 0x3 0xcb 0x2c 0xff 
301 R 982 0x52 0x0 0x3 0xd6 0x2c 0xff 
302 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
303 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
304 R 1017 0x52 0x0 0x3 0xf9 0x2c 0xff 
305 F 971 0x46 0x0 0x3 0xcb 0x2c 0xff 
306 R 982 0x52 0x0 0x3 0xd6 0x2c 0xff 
307 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
308 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
309 R 1017 0x52 0x0 0x3 0xf9 0x2c 0xff 
310 F 971 0x46 0x0 0x3 0xcb 0x2c 0xff 
311 R 982 0x52 0x0 0x3 0xd6 0x2c 0xff 
312 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
313 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
314 R 1017 0x52 0x0 0x3 0xf9 0x2c 0xff 
315 F 971 0x46 0x0 0x3 0xcb 0x2c 0xff 
316 R 982 0x52 0x0 0x3 0xd6 0x2c 0xff 
317 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
318 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
319 R 1017 0x52 0x0 0x3 0xf9 0x2c 0xff 
320 F 971 0x46 0x0 0x3 0xcb 0x2c 0xff 
321 R 982 0x52 0x0 0x3 0xd6 0x2c 0xff 
322 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
323 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
324 R 1017 0x52 0x0 0x3 0xf9 0x2c 0xff 
325 F 971 0x46 0x0 0x3 0xcb 0x2c 0xff 
326 R 982 0x52 0x0 0x3 0xd6 0x2c 0xff 
327 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
328 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
329 R 1017 0x52 0x0 0x3 0xf9 0x2c 0xff 
330 F 970 0x46 0x0 0x3 0xca 0x2c 0xff 
331 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
332 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
333 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
334 R 1017 0x52 0x0 0x3 0xf9 0x2c 0xff 
335 F 970 0x46 0x0 0x3 0xca 0x2c 0xff 
336 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
337 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
338 R 972 0x52 0x0 0x3 0xcc 0x2c 0xff 
339 F 977 0x46 0x0 0x3 0xd1 0x2c 0xff 
340 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
341 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
342 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
343 R 971 0x52 0x0 0x3 0xcb 0x2c 0xff 
344 F 977 0x46 0x0 0x3 0xd1 0x2c 0xff 
