202,F,997
203,R,986
204,F,987
205,R,989
206,R,991
207,F,997
208,R,986
209,F,987
210,R,990
211,R,990
212,F,997
213,R,986
214,F,987
215,R,990
216,R,990
217,F,997
218,R,986
219,F,987
220,R,990
221,R,990
222,F,997
223,R,986
224,F,987
225,R,990
226,R,990
227,F,997
228,R,986
229,F,987
230,R,990
231,R,990
232,F,997
233,R,986
234,F,987
235,R,989
236,R,991
237,F,997
238,R,986
239,F,987
240,R,990
241,R,990
242,F,997
243,R,986
244,F,987
245,R,990
246,R,990
247,F,997
248,R,986
249,F,987
250,R,990
251,R,990
252,F,994
253,R,989
254,F,987
255,R,989
256,R,991
257,F,994
258,R,989
259,F,987
260,R,989
261,R,991
262,F,994
263,R,989
264,F,987
265,R,989
266,R,991
267,F,994
268,R,989
269,F,987
270,R,989
271,R,991
272,F,994
273,R,989
274,F,987
275,F,1245
276,R,741
277,F,988
278,R,989
279,F,987
280,F,989
281,R,997
282,F,988
283,R,989
284,F,987
285,F,989
286,R,997
287,F,988
288,R,985
289,F,991
290,F,990
291,R,996
292,F,988
293,R,986
294,F,990
295,F,990
296,R,996
297,F,987
298,R,986
299,F,991
300,F,989
301,R,997
302,F,988
303,R,986
304,F,990
305,F,990
306,R,996
307,F,987
308,R,986
309,F,991
310,F,990
311,R,996
312,F,987
313,R,986
314,F,991
315,F,990
316,R,996
317,F,987
318,R,986
319,F,991
320,F,989
321,R,997
322,F,987
323,R,986
324,F,991
325,F,990
326,R,996
327,F,988
328,R,986
329,F,990
330,F,990
331,R,996
332,F,988
333,R,986
334,F,990
335,F,990
336,R,996
337,F,988
338,R,986
339,F,990
340,F,990
341,R,996
342,F,984
343,R,990
344,R,990
345,F,997
346,R,989
347,F,984
348,R,990
349,R,990
350,F,997
351,R,986
352,F,987
353,R,990
354,R,990
355,F,997
356,R,986
357,F,987
358,R,989
359,R,991
360,F,997
361,R,986
362,F,987
363,R,990
364,R,990
365,F,997
366,R,986
367,F,987
368,R,990
369,R,990
370,F,997
371,R,986
372,F,987
373,R,990
374,R,990
375,F,997
376,R,986
377,F,987
378,R,989
379,R,991
380,F,997
381,R,986
382,F,987
383,R,989
384,R,991
