04/09/15 Jack King phototran 2 1000Hz
121 F 939 0x46 0x0 0x3 0xab 0x2c 0xff 
122 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
123 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
124 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
125 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
126 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
127 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
128 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
129 F 1271 0x46 0x0 0x4 0xf7 0x2c 0xff 
130 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
131 F 937 0x46 0x0 0x3 0xa9 0x2c 0xff 
132 R 945 0x52 0x0 0x3 0xb1 0x2c 0xff 
133 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
134 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
135 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
136 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
137 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
138 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
139 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
140 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
141 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
142 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
143 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
144 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
145 R 1273 0x52 0x0 0x4 0xf9 0x2c 0xff 
146 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
147 R 943 0x52 0x0 0x3 0xaf 0x2c 0xff 
148 F 936 0x46 0x0 0x3 0xa8 0x2c 0xff 
149 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
150 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
151 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
152 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
153 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
154 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
