460,F,5424
461,F,6266
462,R,6263
463,F,841
464,F,5427
465,F,6266
466,F,6263
467,F,6267
468,R,6263
469,F,847
470,F,5421
471,F,6265
472,F,6264
473,F,6267
474,F,6266
475,F,6263
476,F,6268
477,R,6263
478,F,850
479,F,5417
480,F,6266
481,R,6264
482,F,846
483,F,5421
484,F,6266
485,F,6263
486,F,6267
487,R,6263
488,F,838
489,F,5431
490,F,6265
491,R,6263
492,F,851
493,F,5417
494,F,6266
495,F,6263
496,F,6267
497,F,6267
498,F,6263
499,F,6267
500,R,6263
501,F,837
502,F,5431
503,F,6265
504,R,6264
505,F,850
506,F,5418
507,F,6265
508,F,6264
509,F,6266
510,F,6267
511,F,6264
512,F,6266
513,R,6263
514,F,838
515,F,5431
516,F,6265
517,R,6263
518,F,850
519,F,5418
520,R,6263
521,F,843
522,F,5424
523,F,6265
524,R,6264
525,F,841
526,F,5427
527,F,6266
528,R,6263
529,F,837
530,F,5431
531,F,6265
532,F,6264
533,F,6266
534,R,6264
535,F,844
536,F,5424
537,F,6265
538,R,6263
539,F,841
540,F,5428
541,F,6265
542,R,6263
543,F,837
544,F,5432
545,F,6265
546,F,6263
547,F,6267
548,F,6267
549,F,6263
550,F,6267
551,R,6263
552,F,840
553,F,5428
554,F,6266
555,R,6263
556,F,837
557,R,5428
558,F,842
559,F,5424
560,F,6266
561,F,6266
562,R,6264
563,F,843
564,F,5425
565,F,6265
566,R,6263
567,F,841
568,F,5428
569,F,6265
570,F,6263
571,F,6267
572,R,6263
573,F,847
574,F,5421
575,F,6266
576,R,6263
577,F,844
578,F,5424
579,F,6266
580,R,6263
581,F,840
582,F,5428
583,R,6262
584,F,851
585,F,5417
586,F,6266
587,R,6263
588,F,847
589,F,5421
590,F,6265
591,R,6264
592,F,843
593,F,5425
594,F,6265
595,F,6263
596,F,6268
597,R,6263
598,F,850
599,F,5418
600,F,6265
601,R,6264
602,F,846
603,F,5421
604,F,6266
605,F,6263
606,F,6267
607,F,6267
608,F,6263
609,F,6267
610,R,6263
611,F,850
612,F,5418
613,F,6266
614,R,6263
615,F,847
616,F,5421
617,F,6265
618,F,6264
619,F,6267
620,R,6263
621,F,837
622,F,5431
623,F,6266
624,R,6262
625,F,851
626,F,5417
627,R,6263
628,F,844
629,F,5424
630,F,6265
631,R,6264
632,F,840
633,F,5428
634,F,6265
635,R,6263
636,F,838
637,F,5431
638,F,6265
639,R,6263
640,F,850
641,F,5418
642,R,6262
643,F,844
644,F,5424
645,F,6266
646,R,6263
647,F,840
648,F,5428
649,F,6266
650,R,6263
651,F,837
652,F,5431
653,F,6265
654,F,6264
655,F,6266
656,R,6264
657,F,844
658,F,5424
659,F,6265
660,R,6264
661,F,840
662,F,5428
663,F,6265
664,R,6263
665,F,838
666,F,5431
667,F,6265
668,F,6263
669,F,6267
670,R,6264
671,F,843
672,F,5424
673,F,6266
674,R,6263
675,F,841
676,F,5427
677,F,6521
678,R,6008
679,F,837
680,R,5428
681,F,842
682,F,5424
683,F,6266
684,F,6266
685,R,6264
686,F,844
687,F,5424
688,F,6265
689,R,6264
690,F,840
691,F,5427
692,F,6266
693,F,6263
694,F,6267
695,R,6263
696,F,847
697,F,5422
698,F,6265
699,R,6263
700,F,844
701,F,5424
702,F,6266
703,R,6263
704,F,840
705,F,5428
706,R,6262
707,F,851
708,F,5417
709,F,6266
710,R,6263
711,F,847
712,F,5421
713,F,6265
714,F,6264
715,F,6267
716,F,6266
717,F,6264
718,F,6266
719,R,6264
720,F,850
721,F,5418
722,F,6265
723,F,6264
724,F,6266
725,F,6267
726,F,6263
727,F,6267
728,F,6267
729,F,6263
730,F,6267
731,R,6263
732,F,850
733,F,5418
734,F,6266
735,R,6263
736,F,847
737,F,5421
738,F,6265
739,F,6264
740,F,6267
741,R,6263
742,F,837
743,F,5431
744,F,6266
745,R,6263
746,F,850
747,F,5418
748,F,6265
749,F,6263
750,F,6267
751,F,6267
752,F,6263
753,F,6267
754,R,6263
755,F,837
756,F,5432
757,F,6265
758,F,6263
759,F,6267
760,F,6267
761,F,6263
762,F,6266
763,F,6267
764,F,6264
765,F,6267
