04/09/15 Jack King phototran 2 100KHz
194 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
195 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
196 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
197 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
198 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
199 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
200 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
201 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
202 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
203 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
204 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
205 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
206 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
207 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
208 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
209 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
210 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
211 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
212 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
213 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
214 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
215 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
216 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
217 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
218 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
219 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
220 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
221 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
222 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
223 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
224 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
225 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
226 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
227 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
228 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
229 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
230 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
231 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
232 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
233 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
234 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
235 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
236 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
237 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
238 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
239 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
240 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
241 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
242 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
243 R 997 0x52 0x0 0x3 0xe5 0x2c 0xff 
244 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
245 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
246 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
247 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
248 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
249 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
250 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
251 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
252 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
253 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
254 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
255 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
256 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
257 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
258 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
259 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
260 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
261 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
262 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
263 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
264 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
265 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
266 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
267 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
268 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
269 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
270 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
271 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
272 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
273 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
274 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
275 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
276 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
277 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
278 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
279 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
280 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
281 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
282 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
283 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
284 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
285 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
286 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
287 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
288 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
289 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
290 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
291 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
292 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
293 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
294 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
295 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
296 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
297 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
298 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
299 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
300 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
301 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
302 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
303 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
304 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
305 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
306 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
307 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
308 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
309 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
310 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
311 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
312 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
313 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
314 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
315 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
316 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
317 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
318 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
319 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
320 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
321 F 992 0x46 0x0 0x3 0xe0 0x2c 0xff 
322 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
323 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
324 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
325 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
326 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
327 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
328 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
329 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
330 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
331 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
332 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
333 F 997 0x46 0x0 0x3 0xe5 0x2c 0xff 
334 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
335 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
336 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
337 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
338 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
339 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
340 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
341 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
342 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
343 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
344 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
345 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
346 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
347 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
348 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
349 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
350 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
351 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
352 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
353 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
354 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
355 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
356 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
357 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
358 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
359 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
360 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
361 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
362 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
363 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
364 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
365 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
366 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
367 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
