PhotoTran 2 Sig Gen 1MHz Jack King 04/09/15
119 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
120 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
121 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
122 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
123 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
124 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
125 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
126 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
127 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
128 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
129 F 983 0x46 0x0 0x3 0xd7 0x2c 0xff 
130 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
131 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
132 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
133 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
134 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
135 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
136 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
137 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
138 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
139 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
140 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
141 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
142 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
143 R 973 0x52 0x0 0x3 0xcd 0x2c 0xff 
144 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
145 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
146 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
147 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
148 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
149 R 1018 0x52 0x0 0x3 0xfa 0x2c 0xff 
150 R 962 0x52 0x0 0x3 0xc2 0x2c 0xff 
151 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
152 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
153 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
154 F 979 0x46 0x0 0x3 0xd3 0x2c 0xff 
155 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
156 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
157 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
158 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
159 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
160 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
161 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
162 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
163 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
164 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
165 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
166 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
167 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
168 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
169 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
170 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
171 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
172 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
173 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
174 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
175 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
176 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
177 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
178 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
179 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
180 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
181 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
182 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
183 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
184 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
185 F 983 0x46 0x0 0x3 0xd7 0x2c 0xff 
186 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
187 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
