04/09/15 Jack King photo tran 2 750Hz
146 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
147 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
148 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
149 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
150 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
151 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
152 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
153 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
154 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
155 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
156 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
157 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
158 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
159 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
160 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
161 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
162 R 1251 0x52 0x0 0x4 0xe3 0x2c 0xff 
163 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
164 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
165 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
166 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
167 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
168 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
169 F 1256 0x46 0x0 0x4 0xe8 0x2c 0xff 
170 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
171 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
172 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
173 F 1255 0x46 0x0 0x4 0xe7 0x2c 0xff 
174 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
175 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
176 R 1254 0x52 0x0 0x4 0xe6 0x2c 0xff 
177 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
178 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
179 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
180 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
181 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
182 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
183 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
184 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
185 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
186 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
187 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
188 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
189 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
190 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
191 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
192 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
193 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
194 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
195 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
196 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
197 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
198 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
199 F 1249 0x46 0x0 0x4 0xe1 0x2c 0xff 
200 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
201 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
202 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
203 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
204 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
205 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
206 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
207 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
208 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
209 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
210 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
211 F 1256 0x46 0x0 0x4 0xe8 0x2c 0xff 
212 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
213 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
214 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
215 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
216 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
217 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
218 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
219 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
220 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
221 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
222 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
223 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
224 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
225 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
226 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
227 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
228 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
229 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
230 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
231 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
232 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
233 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
234 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
235 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
236 R 1251 0x52 0x0 0x4 0xe3 0x2c 0xff 
237 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
238 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
239 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
240 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
241 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
242 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
243 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
244 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
245 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
246 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
247 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
248 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
249 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
250 F 834 0x46 0x0 0x3 0x42 0x2c 0xff 
251 R 1257 0x52 0x0 0x4 0xe9 0x2c 0xff 
252 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
253 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
254 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
255 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
256 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
257 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
258 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
259 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
260 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
261 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
262 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
263 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
264 R 1257 0x52 0x0 0x4 0xe9 0x2c 0xff 
265 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
266 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
267 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
268 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
269 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
270 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
271 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
272 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
273 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
274 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
275 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
276 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
277 R 1257 0x52 0x0 0x4 0xe9 0x2c 0xff 
278 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
279 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
280 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
281 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
282 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
283 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
284 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
285 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
286 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
