phototran 2 318Hz siggen Jack King 04/10/15
210 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
211 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
212 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
213 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
214 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
215 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
216 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
217 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
218 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
219 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
220 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
221 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
222 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
223 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
224 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
225 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
226 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
227 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
228 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
229 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
230 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
231 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
232 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
233 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
234 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
235 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
236 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
237 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
238 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
239 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
240 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
241 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
242 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
243 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
244 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
245 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
246 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
247 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
248 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
249 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
