phototran 2 350Hz siggen Jack King 04/10/15
211 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
212 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
213 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
214 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
215 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
216 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
217 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
218 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
219 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
220 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
221 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
222 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
223 R 1836 0x52 0x0 0x7 0x2c 0x2c 0xff 
224 F 893 0x46 0x0 0x3 0x7d 0x2c 0xff 
225 R 933 0x52 0x0 0x3 0xa5 0x2c 0xff 
226 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
227 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
228 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
229 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
230 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
231 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
232 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
233 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
234 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
235 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
236 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
237 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
238 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
239 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
240 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
241 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
242 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
243 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
244 R 1837 0x52 0x0 0x7 0x2d 0x2c 0xff 
245 F 892 0x46 0x0 0x3 0x7c 0x2c 0xff 
246 R 933 0x52 0x0 0x3 0xa5 0x2c 0xff 
247 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
248 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
249 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
250 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
251 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
252 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
253 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
254 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
255 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
256 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
257 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
258 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
259 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
260 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
261 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
262 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
263 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
264 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
265 R 1833 0x52 0x0 0x7 0x29 0x2c 0xff 
266 F 896 0x46 0x0 0x3 0x80 0x2c 0xff 
267 R 933 0x52 0x0 0x3 0xa5 0x2c 0xff 
268 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
269 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
270 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
271 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
272 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
273 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
274 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
275 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
276 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
277 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
278 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
279 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
280 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
281 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
282 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
283 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
284 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
285 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
286 R 1833 0x52 0x0 0x7 0x29 0x2c 0xff 
287 F 896 0x46 0x0 0x3 0x80 0x2c 0xff 
288 R 933 0x52 0x0 0x3 0xa5 0x2c 0xff 
289 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
290 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
291 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
292 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
293 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
294 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
295 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
296 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
297 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
298 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
299 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
300 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
301 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
302 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
303 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
304 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
305 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
306 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
307 R 1833 0x52 0x0 0x7 0x29 0x2c 0xff 
308 F 896 0x46 0x0 0x3 0x80 0x2c 0xff 
309 R 933 0x52 0x0 0x3 0xa5 0x2c 0xff 
310 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
311 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
312 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
313 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
314 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
315 R 992 0x52 0x0 0x3 0xe0 0x2c 0xff 
316 F 988 0x46 0x0 0x3 0xdc 0x2c 0xff 
317 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
318 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
319 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
320 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
321 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
322 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
323 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
324 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
325 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
326 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
327 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
328 R 1833 0x52 0x0 0x7 0x29 0x2c 0xff 
329 F 896 0x46 0x0 0x3 0x80 0x2c 0xff 
330 R 933 0x52 0x0 0x3 0xa5 0x2c 0xff 
331 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
332 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
333 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
334 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
335 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
336 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
337 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
338 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
339 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
340 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
341 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
342 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
343 R 1245 0x52 0x0 0x4 0xdd 0x2c 0xff 
344 F 735 0x46 0x0 0x2 0xdf 0x2c 0xff 
345 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
346 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
347 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
348 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
349 R 1833 0x52 0x0 0x7 0x29 0x2c 0xff 
350 F 892 0x46 0x0 0x3 0x7c 0x2c 0xff 
351 R 937 0x52 0x0 0x3 0xa9 0x2c 0xff 
352 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
353 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
354 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
355 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
356 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
357 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
358 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
359 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
360 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
361 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
362 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
363 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
364 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
365 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
366 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
367 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
368 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
369 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
370 R 1833 0x52 0x0 0x7 0x29 0x2c 0xff 
371 F 892 0x46 0x0 0x3 0x7c 0x2c 0xff 
372 R 937 0x52 0x0 0x3 0xa9 0x2c 0xff 
373 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
374 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
375 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
376 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
377 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
378 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
379 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
380 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
381 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
382 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
383 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
384 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
385 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
386 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
387 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
388 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
389 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
390 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
391 R 1833 0x52 0x0 0x7 0x29 0x2c 0xff 
392 F 892 0x46 0x0 0x3 0x7c 0x2c 0xff 
393 R 937 0x52 0x0 0x3 0xa9 0x2c 0xff 
394 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
395 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
396 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
397 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
398 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
399 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
400 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
401 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
402 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
403 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
404 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
405 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
406 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
407 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
408 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
409 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
410 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
411 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
412 R 1833 0x52 0x0 0x7 0x29 0x2c 0xff 
413 F 892 0x46 0x0 0x3 0x7c 0x2c 0xff 
414 R 937 0x52 0x0 0x3 0xa9 0x2c 0xff 
415 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
416 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
417 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
418 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
419 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
420 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
421 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
