04/09/15 Jack King phototran 2 5000Hz
108 F 956 0x46 0x0 0x3 0xbc 0x2c 0xff 
109 R 1048 0x52 0x0 0x4 0x18 0x2c 0xff 
110 F 939 0x46 0x0 0x3 0xab 0x2c 0xff 
111 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
112 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
113 R 958 0x52 0x0 0x3 0xbe 0x2c 0xff 
114 F 1046 0x46 0x0 0x4 0x16 0x2c 0xff 
115 R 941 0x52 0x0 0x3 0xad 0x2c 0xff 
116 F 983 0x46 0x0 0x3 0xd7 0x2c 0xff 
117 R 1024 0x52 0x0 0x4 0x0 0x2c 0xff 
118 F 956 0x46 0x0 0x3 0xbc 0x2c 0xff 
119 R 1047 0x52 0x0 0x4 0x17 0x2c 0xff 
120 F 941 0x46 0x0 0x3 0xad 0x2c 0xff 
121 R 982 0x52 0x0 0x3 0xd6 0x2c 0xff 
122 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
123 R 958 0x52 0x0 0x3 0xbe 0x2c 0xff 
124 F 1047 0x46 0x0 0x4 0x17 0x2c 0xff 
125 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
126 F 983 0x46 0x0 0x3 0xd7 0x2c 0xff 
127 R 1020 0x52 0x0 0x3 0xfc 0x2c 0xff 
128 F 961 0x46 0x0 0x3 0xc1 0x2c 0xff 
129 R 1046 0x52 0x0 0x4 0x16 0x2c 0xff 
130 F 941 0x46 0x0 0x3 0xad 0x2c 0xff 
131 R 982 0x52 0x0 0x3 0xd6 0x2c 0xff 
132 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
133 R 958 0x52 0x0 0x3 0xbe 0x2c 0xff 
134 F 1046 0x46 0x0 0x4 0x16 0x2c 0xff 
135 R 941 0x52 0x0 0x3 0xad 0x2c 0xff 
136 F 984 0x46 0x0 0x3 0xd8 0x2c 0xff 
137 R 1019 0x52 0x0 0x3 0xfb 0x2c 0xff 
138 F 960 0x46 0x0 0x3 0xc0 0x2c 0xff 
139 R 1047 0x52 0x0 0x4 0x17 0x2c 0xff 
140 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
141 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
142 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
143 R 958 0x52 0x0 0x3 0xbe 0x2c 0xff 
144 F 1046 0x46 0x0 0x4 0x16 0x2c 0xff 
145 R 941 0x52 0x0 0x3 0xad 0x2c 0xff 
146 F 983 0x46 0x0 0x3 0xd7 0x2c 0xff 
147 R 1020 0x52 0x0 0x3 0xfc 0x2c 0xff 
148 F 960 0x46 0x0 0x3 0xc0 0x2c 0xff 
149 R 1048 0x52 0x0 0x4 0x18 0x2c 0xff 
150 F 939 0x46 0x0 0x3 0xab 0x2c 0xff 
151 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
152 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
153 R 958 0x52 0x0 0x3 0xbe 0x2c 0xff 
154 F 1047 0x46 0x0 0x4 0x17 0x2c 0xff 
155 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
156 F 983 0x46 0x0 0x3 0xd7 0x2c 0xff 
157 R 1020 0x52 0x0 0x3 0xfc 0x2c 0xff 
158 F 961 0x46 0x0 0x3 0xc1 0x2c 0xff 
159 R 1043 0x52 0x0 0x4 0x13 0x2c 0xff 
160 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
161 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
162 F 1022 0x46 0x0 0x3 0xfe 0x2c 0xff 
163 R 958 0x52 0x0 0x3 0xbe 0x2c 0xff 
164 F 1046 0x46 0x0 0x4 0x16 0x2c 0xff 
165 R 941 0x52 0x0 0x3 0xad 0x2c 0xff 
166 F 983 0x46 0x0 0x3 0xd7 0x2c 0xff 
167 R 1020 0x52 0x0 0x3 0xfc 0x2c 0xff 
168 F 960 0x46 0x0 0x3 0xc0 0x2c 0xff 
169 R 1044 0x52 0x0 0x4 0x14 0x2c 0xff 
170 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
171 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
172 F 1019 0x46 0x0 0x3 0xfb 0x2c 0xff 
173 R 961 0x52 0x0 0x3 0xc1 0x2c 0xff 
174 F 1046 0x46 0x0 0x4 0x16 0x2c 0xff 
175 R 937 0x52 0x0 0x3 0xa9 0x2c 0xff 
176 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
177 R 1020 0x52 0x0 0x3 0xfc 0x2c 0xff 
178 F 960 0x46 0x0 0x3 0xc0 0x2c 0xff 
179 R 1044 0x52 0x0 0x4 0x14 0x2c 0xff 
180 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
181 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
182 F 1019 0x46 0x0 0x3 0xfb 0x2c 0xff 
183 R 961 0x52 0x0 0x3 0xc1 0x2c 0xff 
184 F 1046 0x46 0x0 0x4 0x16 0x2c 0xff 
185 R 937 0x52 0x0 0x3 0xa9 0x2c 0xff 
186 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
187 R 1021 0x52 0x0 0x3 0xfd 0x2c 0xff 
188 F 959 0x46 0x0 0x3 0xbf 0x2c 0xff 
189 R 1044 0x52 0x0 0x4 0x14 0x2c 0xff 
190 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
191 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
