229,R,850
230,F,990
231,R,1294
232,F,835
233,R,989
234,F,1309
235,R,837
236,F,990
237,R,1307
238,F,838
239,R,990
240,F,1302
241,R,843
242,F,990
243,R,1303
244,F,842
245,R,990
246,F,1298
247,R,846
248,F,991
249,R,1296
250,F,849
251,R,990
252,F,1294
253,R,851
254,F,990
255,R,1293
256,F,835
257,R,990
258,F,1305
259,R,840
260,F,990
261,R,1307
262,F,838
263,R,990
264,F,1302
265,R,843
266,F,990
267,R,1300
268,F,845
269,R,990
270,F,1298
271,R,847
272,F,990
273,R,1297
274,F,848
275,R,990
276,F,1292
277,R,836
278,F,991
279,R,1307
280,F,838
281,R,990
282,F,1305
283,R,840
284,F,990
285,R,1304
286,F,841
287,R,990
288,F,1301
289,R,844
290,F,990
291,R,1300
292,F,845
293,R,989
294,F,1296
295,R,850
296,F,990
297,R,1293
298,F,835
299,R,990
300,F,1309
301,R,836
302,F,991
303,R,1306
304,F,839
305,R,989
306,F,1302
307,R,843
308,F,991
309,R,1303
310,F,842
311,R,989
312,F,1299
313,R,846
314,F,990
315,R,1297
316,F,848
317,R,990
318,F,1295
319,R,850
320,F,990
321,R,1294
322,F,835
323,R,990
324,F,1305
325,R,839
326,F,991
327,R,1303
328,F,842
329,R,990
330,F,1301
331,R,844
332,F,990
333,R,1300
334,F,845
335,R,989
336,F,1299
337,R,847
338,F,990
339,R,1297
340,F,848
341,R,990
342,F,1291
343,R,837
344,F,991
345,R,1306
346,F,838
347,R,990
348,F,1305
349,R,840
350,F,990
351,R,1304
352,F,841
353,R,990
354,F,1298
355,R,847
356,F,991
357,R,1300
358,F,845
359,R,989
360,F,1295
361,R,850
362,F,990
363,R,1294
364,F,835
365,R,990
366,F,1309
367,R,836
368,F,990
369,R,1307
370,F,838
371,R,990
372,F,1301
373,R,844
374,F,990
375,R,1300
376,F,845
377,R,990
378,F,1298
379,R,847
380,F,990
381,R,1297
382,F,848
383,R,990
384,F,1295
385,R,850
386,F,990
387,R,1293
388,F,836
389,R,989
390,F,1306
391,R,839
392,F,990
393,R,1304
394,F,842
395,R,989
396,F,1302
397,R,843
