phototran 2 320Hz siggen Jack King 04/10/15
420 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
421 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
422 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
423 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
424 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
425 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
426 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
427 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
428 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
429 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
430 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
431 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
432 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
433 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
