04/09/15 Jack King phototran 2 500Hz
136 R 1294 0x52 0x0 0x5 0xe 0x2c 0xff 
137 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
138 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
139 F 1305 0x46 0x0 0x5 0x19 0x2c 0xff 
140 R 839 0x52 0x0 0x3 0x47 0x2c 0xff 
141 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
142 R 1303 0x52 0x0 0x5 0x17 0x2c 0xff 
143 F 842 0x46 0x0 0x3 0x4a 0x2c 0xff 
144 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
145 F 1301 0x46 0x0 0x5 0x15 0x2c 0xff 
146 R 844 0x52 0x0 0x3 0x4c 0x2c 0xff 
147 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
148 R 1300 0x52 0x0 0x5 0x14 0x2c 0xff 
149 F 845 0x46 0x0 0x3 0x4d 0x2c 0xff 
150 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
151 F 1298 0x46 0x0 0x5 0x12 0x2c 0xff 
152 R 846 0x52 0x0 0x3 0x4e 0x2c 0xff 
153 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
154 R 1297 0x52 0x0 0x5 0x11 0x2c 0xff 
155 F 848 0x46 0x0 0x3 0x50 0x2c 0xff 
156 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
157 F 1292 0x46 0x0 0x5 0xc 0x2c 0xff 
158 R 837 0x52 0x0 0x3 0x45 0x2c 0xff 
159 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
160 R 1307 0x52 0x0 0x5 0x1b 0x2c 0xff 
161 F 838 0x46 0x0 0x3 0x46 0x2c 0xff 
162 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
163 F 1305 0x46 0x0 0x5 0x19 0x2c 0xff 
164 R 840 0x52 0x0 0x3 0x48 0x2c 0xff 
165 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
166 R 1304 0x52 0x0 0x5 0x18 0x2c 0xff 
167 F 841 0x46 0x0 0x3 0x49 0x2c 0xff 
168 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
169 F 1302 0x46 0x0 0x5 0x16 0x2c 0xff 
170 R 843 0x52 0x0 0x3 0x4b 0x2c 0xff 
171 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
172 R 1300 0x52 0x0 0x5 0x14 0x2c 0xff 
173 F 845 0x46 0x0 0x3 0x4d 0x2c 0xff 
174 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
175 F 1295 0x46 0x0 0x5 0xf 0x2c 0xff 
176 R 850 0x52 0x0 0x3 0x52 0x2c 0xff 
177 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
178 R 1294 0x52 0x0 0x5 0xe 0x2c 0xff 
179 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
180 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
181 F 1308 0x46 0x0 0x5 0x1c 0x2c 0xff 
182 R 836 0x52 0x0 0x3 0x44 0x2c 0xff 
183 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
184 R 1307 0x52 0x0 0x5 0x1b 0x2c 0xff 
185 F 838 0x46 0x0 0x3 0x46 0x2c 0xff 
186 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
187 F 1305 0x46 0x0 0x5 0x19 0x2c 0xff 
188 R 840 0x52 0x0 0x3 0x48 0x2c 0xff 
189 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
190 R 1304 0x52 0x0 0x5 0x18 0x2c 0xff 
191 F 841 0x46 0x0 0x3 0x49 0x2c 0xff 
192 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
193 F 1298 0x46 0x0 0x5 0x12 0x2c 0xff 
194 R 847 0x52 0x0 0x3 0x4f 0x2c 0xff 
195 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
196 R 1297 0x52 0x0 0x5 0x11 0x2c 0xff 
197 F 848 0x46 0x0 0x3 0x50 0x2c 0xff 
198 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
199 F 1296 0x46 0x0 0x5 0x10 0x2c 0xff 
200 R 850 0x52 0x0 0x3 0x52 0x2c 0xff 
201 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
202 R 1293 0x52 0x0 0x5 0xd 0x2c 0xff 
203 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
204 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
205 F 1306 0x46 0x0 0x5 0x1a 0x2c 0xff 
206 R 839 0x52 0x0 0x3 0x47 0x2c 0xff 
207 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
208 R 1306 0x52 0x0 0x5 0x1a 0x2c 0xff 
209 F 839 0x46 0x0 0x3 0x47 0x2c 0xff 
210 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
211 F 1302 0x46 0x0 0x5 0x16 0x2c 0xff 
212 R 843 0x52 0x0 0x3 0x4b 0x2c 0xff 
213 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
214 R 1299 0x52 0x0 0x5 0x13 0x2c 0xff 
215 F 845 0x46 0x0 0x3 0x4d 0x2c 0xff 
216 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
217 F 1299 0x46 0x0 0x5 0x13 0x2c 0xff 
218 R 846 0x52 0x0 0x3 0x4e 0x2c 0xff 
219 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
220 R 1297 0x52 0x0 0x5 0x11 0x2c 0xff 
221 F 849 0x46 0x0 0x3 0x51 0x2c 0xff 
222 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
223 F 1295 0x46 0x0 0x5 0xf 0x2c 0xff 
224 R 850 0x52 0x0 0x3 0x52 0x2c 0xff 
225 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
226 R 1293 0x52 0x0 0x5 0xd 0x2c 0xff 
227 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
228 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
229 F 1305 0x46 0x0 0x5 0x19 0x2c 0xff 
230 R 840 0x52 0x0 0x3 0x48 0x2c 0xff 
231 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
232 R 1303 0x52 0x0 0x5 0x17 0x2c 0xff 
233 F 842 0x46 0x0 0x3 0x4a 0x2c 0xff 
234 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
235 F 1302 0x46 0x0 0x5 0x16 0x2c 0xff 
236 R 842 0x52 0x0 0x3 0x4a 0x2c 0xff 
237 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
238 R 1300 0x52 0x0 0x5 0x14 0x2c 0xff 
239 F 845 0x46 0x0 0x3 0x4d 0x2c 0xff 
240 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
241 F 1298 0x46 0x0 0x5 0x12 0x2c 0xff 
242 R 846 0x52 0x0 0x3 0x4e 0x2c 0xff 
243 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
244 R 1297 0x52 0x0 0x5 0x11 0x2c 0xff 
245 F 848 0x46 0x0 0x3 0x50 0x2c 0xff 
246 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
247 F 1292 0x46 0x0 0x5 0xc 0x2c 0xff 
248 R 837 0x52 0x0 0x3 0x45 0x2c 0xff 
249 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
250 R 1307 0x52 0x0 0x5 0x1b 0x2c 0xff 
251 F 838 0x46 0x0 0x3 0x46 0x2c 0xff 
252 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
253 F 1305 0x46 0x0 0x5 0x19 0x2c 0xff 
254 R 840 0x52 0x0 0x3 0x48 0x2c 0xff 
255 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
256 R 1304 0x52 0x0 0x5 0x18 0x2c 0xff 
257 F 841 0x46 0x0 0x3 0x49 0x2c 0xff 
258 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
259 F 1302 0x46 0x0 0x5 0x16 0x2c 0xff 
260 R 843 0x52 0x0 0x3 0x4b 0x2c 0xff 
261 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
262 R 1300 0x52 0x0 0x5 0x14 0x2c 0xff 
263 F 845 0x46 0x0 0x3 0x4d 0x2c 0xff 
264 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
265 F 1295 0x46 0x0 0x5 0xf 0x2c 0xff 
266 R 850 0x52 0x0 0x3 0x52 0x2c 0xff 
267 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
268 R 1294 0x52 0x0 0x5 0xe 0x2c 0xff 
269 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
270 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
271 F 1308 0x46 0x0 0x5 0x1c 0x2c 0xff 
272 R 836 0x52 0x0 0x3 0x44 0x2c 0xff 
273 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
274 R 1307 0x52 0x0 0x5 0x1b 0x2c 0xff 
275 F 838 0x46 0x0 0x3 0x46 0x2c 0xff 
276 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
277 F 1305 0x46 0x0 0x5 0x19 0x2c 0xff 
278 R 840 0x52 0x0 0x3 0x48 0x2c 0xff 
279 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
280 R 1304 0x52 0x0 0x5 0x18 0x2c 0xff 
281 F 841 0x46 0x0 0x3 0x49 0x2c 0xff 
282 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
283 F 1298 0x46 0x0 0x5 0x12 0x2c 0xff 
284 R 847 0x52 0x0 0x3 0x4f 0x2c 0xff 
285 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
286 R 1297 0x52 0x0 0x5 0x11 0x2c 0xff 
287 F 848 0x46 0x0 0x3 0x50 0x2c 0xff 
288 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
289 F 1296 0x46 0x0 0x5 0x10 0x2c 0xff 
290 R 850 0x52 0x0 0x3 0x52 0x2c 0xff 
291 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
292 R 1293 0x52 0x0 0x5 0xd 0x2c 0xff 
293 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
294 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
295 F 1309 0x46 0x0 0x5 0x1d 0x2c 0xff 
296 R 836 0x52 0x0 0x3 0x44 0x2c 0xff 
297 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
298 R 1306 0x52 0x0 0x5 0x1a 0x2c 0xff 
299 F 839 0x46 0x0 0x3 0x47 0x2c 0xff 
300 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
301 F 1302 0x46 0x0 0x5 0x16 0x2c 0xff 
