04/09/15 Jack King phototran 2 40KHz
79 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
80 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
81 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
82 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
83 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
84 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
85 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
86 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
87 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
88 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
89 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
90 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
91 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
92 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
93 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
94 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
95 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
96 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
97 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
98 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
99 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
100 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
101 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
102 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
103 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
104 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
105 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
106 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
107 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
108 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
109 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
110 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
111 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
112 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
113 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
114 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
115 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
116 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
117 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
118 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
119 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
120 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
121 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
122 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
123 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
124 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
125 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
126 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
127 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
128 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
129 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
130 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
131 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
132 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
133 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
134 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
135 F 997 0x46 0x0 0x3 0xe5 0x2c 0xff 
136 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
137 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
138 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
139 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
140 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
141 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
142 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
143 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
144 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
145 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
146 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
147 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
148 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
149 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
150 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
151 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
152 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
153 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
154 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
155 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
156 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
157 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
158 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
159 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
160 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
161 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
162 R 997 0x52 0x0 0x3 0xe5 0x2c 0xff 
163 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
164 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
165 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
166 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
167 R 997 0x52 0x0 0x3 0xe5 0x2c 0xff 
168 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
169 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
170 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
171 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
172 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
173 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
174 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
175 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
176 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
177 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
178 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
179 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
180 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
181 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
182 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
183 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
184 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
185 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
186 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
187 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
188 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
189 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
190 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
191 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
192 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
193 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
194 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
195 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
196 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
197 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
198 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
199 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
200 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
201 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
202 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
203 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
204 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
205 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
206 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
207 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
208 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
209 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
210 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
211 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
212 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
213 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
214 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
215 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
216 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
217 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
218 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
219 F 997 0x46 0x0 0x3 0xe5 0x2c 0xff 
220 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
221 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
222 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
223 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
224 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
225 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
226 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
227 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
228 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
229 F 997 0x46 0x0 0x3 0xe5 0x2c 0xff 
230 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
231 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
232 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
233 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
234 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
235 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
236 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
237 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
238 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
239 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
240 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
241 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
242 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
243 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
244 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
245 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
246 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
247 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
248 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
249 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
250 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
251 R 997 0x52 0x0 0x3 0xe5 0x2c 0xff 
252 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
253 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
254 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
255 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
256 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
257 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
258 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
259 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
260 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
261 R 997 0x52 0x0 0x3 0xe5 0x2c 0xff 
262 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
263 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
264 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
265 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
266 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
267 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
268 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
269 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
270 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
271 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
272 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
273 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
274 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
275 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
276 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
277 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
278 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
279 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
280 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
281 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
282 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
283 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
284 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
285 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
286 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
287 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
288 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
289 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
290 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
291 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
292 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
293 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
294 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
295 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
296 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
297 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
298 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
299 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
300 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
301 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
302 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
303 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
304 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
305 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
306 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
307 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
308 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
309 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
310 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
311 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
312 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
313 F 1000 0x46 0x0 0x3 0xe8 0x2c 0xff 
314 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
315 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
316 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
317 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
318 F 997 0x46 0x0 0x3 0xe5 0x2c 0xff 
319 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
320 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
321 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
322 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
323 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
324 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
325 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
326 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
327 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
328 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
329 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
330 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
331 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
332 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
333 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
334 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
335 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
336 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
337 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
338 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
339 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
340 R 997 0x52 0x0 0x3 0xe5 0x2c 0xff 
341 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
342 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
343 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
344 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
345 R 997 0x52 0x0 0x3 0xe5 0x2c 0xff 
346 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
347 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
348 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
349 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
350 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
351 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
352 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
353 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
