04/09/15 Jack King phototran 2 50KHz
235 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
236 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
237 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
238 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
239 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
240 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
241 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
242 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
243 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
244 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
245 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
246 R 996 0x52 0x0 0x3 0xe4 0x2c 0xff 
247 F 984 0x46 0x0 0x3 0xd8 0x2c 0xff 
248 R 996 0x52 0x0 0x3 0xe4 0x2c 0xff 
249 F 984 0x46 0x0 0x3 0xd8 0x2c 0xff 
250 R 996 0x52 0x0 0x3 0xe4 0x2c 0xff 
251 F 984 0x46 0x0 0x3 0xd8 0x2c 0xff 
252 R 996 0x52 0x0 0x3 0xe4 0x2c 0xff 
253 F 984 0x46 0x0 0x3 0xd8 0x2c 0xff 
254 R 996 0x52 0x0 0x3 0xe4 0x2c 0xff 
255 F 984 0x46 0x0 0x3 0xd8 0x2c 0xff 
256 R 996 0x52 0x0 0x3 0xe4 0x2c 0xff 
257 F 984 0x46 0x0 0x3 0xd8 0x2c 0xff 
258 R 996 0x52 0x0 0x3 0xe4 0x2c 0xff 
259 F 984 0x46 0x0 0x3 0xd8 0x2c 0xff 
260 R 996 0x52 0x0 0x3 0xe4 0x2c 0xff 
261 F 984 0x46 0x0 0x3 0xd8 0x2c 0xff 
262 R 996 0x52 0x0 0x3 0xe4 0x2c 0xff 
263 F 984 0x46 0x0 0x3 0xd8 0x2c 0xff 
264 R 996 0x52 0x0 0x3 0xe4 0x2c 0xff 
265 F 984 0x46 0x0 0x3 0xd8 0x2c 0xff 
266 F 992 0x46 0x0 0x3 0xe0 0x2c 0xff 
267 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
268 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
269 F 983 0x46 0x0 0x3 0xd7 0x2c 0xff 
270 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
271 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
272 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
273 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
274 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
275 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
276 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
277 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
278 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
279 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
280 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
281 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
282 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
283 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
284 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
285 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
286 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
287 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
288 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
289 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
290 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
291 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
292 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
293 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
294 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
295 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
296 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
297 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
298 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
299 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
300 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
301 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
302 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
303 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
304 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
305 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
306 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
307 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
308 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
309 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
310 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
311 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
312 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
313 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
314 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
315 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
316 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
317 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
318 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
319 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
320 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
321 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
322 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
323 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
324 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
325 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
326 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
327 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
328 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
329 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
330 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
331 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
