04/09/15 Jack King phototran 2 75KHz
91 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
92 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
93 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
94 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
95 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
96 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
97 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
98 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
99 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
100 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
101 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
102 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
103 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
104 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
105 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
106 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
107 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
108 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
109 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
110 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
111 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
112 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
113 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
114 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
115 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
116 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
117 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
118 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
119 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
120 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
121 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
122 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
123 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
124 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
125 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
126 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
127 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
128 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
129 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
130 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
131 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
132 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
133 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
134 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
135 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
136 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
137 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
138 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
139 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
140 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
141 F 988 0x46 0x0 0x3 0xdc 0x2c 0xff 
142 F 992 0x46 0x0 0x3 0xe0 0x2c 0xff 
143 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
144 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
145 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
146 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
147 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
148 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
149 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
150 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
151 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
152 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
153 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
154 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
155 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
156 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
157 F 984 0x46 0x0 0x3 0xd8 0x2c 0xff 
158 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
159 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
160 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
161 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
162 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
163 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
164 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
165 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
166 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
167 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
168 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
169 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
170 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
171 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
172 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
173 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
174 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
175 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
176 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
177 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
178 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
179 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
180 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
181 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
182 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
183 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
184 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
185 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
186 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
187 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
188 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
189 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
190 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
191 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
192 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
193 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
194 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
195 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
196 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
197 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
198 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
199 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
200 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
201 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
202 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
203 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
204 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
205 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
206 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
207 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
208 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
209 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
210 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
211 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
212 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
213 F 1246 0x46 0x0 0x4 0xde 0x2c 0xff 
214 R 734 0x52 0x0 0x2 0xde 0x2c 0xff 
215 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
216 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
217 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
218 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
219 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
220 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
