phototran 2 312Hz siggen Jack King 04/10/15
349 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
350 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
351 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
352 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
353 R 1005 0x52 0x0 0x3 0xed 0x2c 0xff 
354 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
355 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
356 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
357 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
358 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
359 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
360 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
361 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
362 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
363 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
364 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
365 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
366 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
367 R 1005 0x52 0x0 0x3 0xed 0x2c 0xff 
368 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
369 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
370 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
371 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
372 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
373 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
374 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
375 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
376 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
377 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
378 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
379 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
380 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
381 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
382 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
383 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
384 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
385 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
386 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
387 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
388 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
389 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
390 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
391 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
392 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
393 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
394 F 1002 0x46 0x0 0x3 0xea 0x2c 0xff 
395 R 1004 0x52 0x0 0x3 0xec 0x2c 0xff 
396 F 1003 0x46 0x0 0x3 0xeb 0x2c 0xff 
